cluster	n_atoms	BE_per_atom	E_cluster	BE_category	size_category	energy_category	stability_index	size_efficiency	structural_category	density_category	compactness	be_rank	size_rank	efficiency_rank
C-169395-3151-1	240	-7.332564994854169	-8.984401234999243	Low	Very Large	Medium E	0.20881783518005648	-1.3368890560160722	Intermediate	Low Density	10.218741897819955	1582.0	2616.0	1582.0
C-169395-3151-10	240	-7.329931081139993	-9.616540526401668	Low	Very Large	Medium E	0.283133910990126	-1.3364088351900114	Linear	Low Density	10.35877267016199	888.0	2616.0	888.0
C-169395-3151-100	240	-7.333321960802908	-8.802729407301932	Very Low	Very Large	Medium E	0.1874599833531999	-1.3370270676795701	Intermediate	Low Density	10.186003059562976	2955.0	2616.0	2955.0
C-169395-3151-101	240	-7.323597424521298	-11.13661811488843	Medium	Very Large	Low E	0.46183851429450246	-1.3352540692623942	Intermediate	Low Density	10.000243753671226	188.0	2616.0	188.0
C-169395-3151-102	240	-7.332621701202482	-8.970791711404308	Low	Very Large	Medium E	0.20721786124869368	-1.3368993948397334	Intermediate	Low Density	10.380253157637055	2037.0	2616.0	2037.0
C-169395-3151-103	240	-7.332681771454497	-8.956374850920898	Low	Very Large	Medium E	0.20552297451850102	-1.3369103469775687	Intermediate	Low Density	10.380249472201882	2089.0	2616.0	2089.0
C-169395-3151-104	240	-7.332842428450179	-8.91781717195697	Low	Very Large	Medium E	0.20099002516398692	-1.3369396383073355	Spherical	Low Density	9.988552085079917	2364.0	2616.0	2364.0
C-169395-3151-105	240	-7.334081369741484	-8.62047126204369	Very Low	Very Large	Medium E	0.16603320238224897	-1.337165524754241	Intermediate	Low Density	10.16018486418679	3678.0	2616.0	3677.0
C-169395-3151-106	240	-7.322473232352282	-11.40642423545217	Medium	Very Large	Low E	0.4935576818617568	-1.3350491041228187	Linear	Low Density	10.433347849049195	98.0	2616.0	98.0
C-169395-3151-107	240	-7.32976701110846	-9.655917333969548	Low	Very Large	Medium E	0.287763159410792	-1.3363789215881914	Intermediate	Low Density	10.20877797477191	875.0	2616.0	875.0
C-169395-3151-109	240	-7.333132208616164	-8.848269932120436	Very Low	Very Large	Medium E	0.1928138557368231	-1.336992471651851	Spherical	Low Density	10.43197448860183	2518.0	2616.0	2518.0
C-169395-3151-11	240	-7.33512850216402	-8.369159480635227	Very Low	Very Large	Medium E	0.1364882814239398	-1.3373564401947275	Spherical	Low Density	10.432498707726714	4718.0	2616.0	4717.0
C-169395-3151-110	240	-7.333049703532577	-8.86807115218149	Very Low	Very Large	Medium E	0.19514174294648734	-1.3369774291471628	Intermediate	Low Density	10.274464680532269	2458.0	2616.0	2458.0
C-169395-3151-111	240	-7.334606450143618	-8.494451965531738	Very Low	Very Large	Medium E	0.15121801889261086	-1.3372612585450272	Spherical	Low Density	10.771383686812205	4246.0	2616.0	4245.0
C-169395-3151-112	240	-7.332565031919345	-8.984392339357212	Low	Very Large	Medium E	0.2088167893833012	-1.336889062773875	Linear	Low Density	10.72604550110255	1696.0	2616.0	1696.0
C-169395-3151-114	240	-7.332565042651379	-8.984389763669054	Low	Very Large	Medium E	0.20881648657814753	-1.3368890647305627	Intermediate	Low Density	10.454438629381757	1742.0	2616.0	1742.0
