cluster,n_atoms,E_cluster,BE_per_atom
C-169395-3151-1,240,-8.984401234999243,-7.332564994854169
C-169395-3151-10,240,-9.616540526401668,-7.329931081139993
C-169395-3151-100,240,-8.802729407301932,-7.333321960802908
C-169395-3151-101,240,-11.13661811488843,-7.323597424521298
C-169395-3151-102,240,-8.970791711404308,-7.332621701202482
C-169395-3151-103,240,-8.956374850920898,-7.332681771454497
C-169395-3151-104,240,-8.91781717195697,-7.332842428450179
C-169395-3151-105,240,-8.62047126204369,-7.334081369741484
C-169395-3151-106,240,-11.40642423545217,-7.322473232352282
C-169395-3151-107,240,-9.655917333969548,-7.32976701110846
C-169395-3151-109,240,-8.848269932120436,-7.333132208616164
C-169395-3151-11,240,-8.369159480635227,-7.33512850216402
C-169395-3151-110,240,-8.86807115218149,-7.333049703532577
C-169395-3151-111,240,-8.494451965531738,-7.334606450143618
C-169395-3151-112,240,-8.984392339357212,-7.332565031919345
C-169395-3151-114,240,-8.984389763669054,-7.332565042651379
C-169395-3151-115,240,-9.209382686949034,-7.3316275721377115
C-169395-3151-116,240,-8.875679755074877,-7.3330180010205215
C-169395-3151-117,240,-8.662524592305026,-7.333906147532062
C-169395-3151-118,240,-8.663961554014264,-7.3339001601916065
C-169395-3151-12,240,-8.80912565695914,-7.33329530976267
C-169395-3151-120,240,-8.372071154776929,-7.335116370188429
C-169395-3151-121,240,-9.252084694971785,-7.331449647104284
C-169395-3151-122,240,-9.100837270524208,-7.332079844706149
C-169395-3151-123,240,-11.46319188478579,-7.322236700480059
C-169395-3151-124,240,-8.550822870927076,-7.334371571371137
C-169395-3151-125,240,-8.450426710706415,-7.33478988870539
C-169395-3151-126,240,-8.552457168118266,-7.334364761799507
C-169395-3151-127,240,-8.490531447616323,-7.334622785634932
C-169395-3151-128,240,-8.253382999587375,-7.335610904168386
C-169395-3151-129,240,-7.913658932952611,-7.337026421112697
C-169395-3151-13,240,-8.817655925399347,-7.333259766977503
C-169395-3151-130,240,-8.81476478904903,-7.333271813378962
C-169395-3151-132,240,-8.21175012593678,-7.3357843744752635
C-169395-3151-133,240,-8.968825896724518,-7.332629892096981
C-169395-3151-135,240,-10.29878305983168,-7.327088403917368
C-169395-3151-137,240,-8.521476334721894,-7.334493848605325
C-169395-3151-14,240,-11.13661609627964,-7.323597432932169
C-169395-3151-140,240,-9.602133547896496,-7.329991110217097
C-169395-3151-141,240,-8.957015317865638,-7.332679102842226
C-169395-3151-142,240,-11.07918681240864,-7.323836721614964
C-169395-3151-145,240,-9.116727856685813,-7.332013633930475
C-169395-3151-146,240,-8.455752187330303,-7.334767699219457
C-169395-3151-148,240,-8.462985041551368,-7.334737562326869
C-169395-3151-149,240,-8.549136017753009,-7.334378599926029
C-169395-3151-15,240,-10.17343704188027,-7.327610678992165
C-169395-3151-150,240,-8.102145775005708,-7.336241059270809
C-169395-3151-151,240,-11.13661207148231,-7.323597449702158
C-169395-3151-152,240,-8.802732051451354,-7.333321949785619
C-169395-3151-153,240,-8.725680192098574,-7.333642999199589
C-169395-3151-155,240,-8.956542455226252,-7.332681073103223
C-169395-3151-157,240,-8.128549060721042,-7.336131045580329
C-169395-3151-158,240,-8.984380715499327,-7.332565080352086
C-169395-3151-159,240,-7.664029733419532,-7.338066542777418
C-169395-3151-16,240,-11.6356923538795,-7.321517948525502
C-169395-3151-160,240,-8.623382054627543,-7.334069241439051
C-169395-3151-161,240,-8.667985635723326,-7.333883393184485
C-169395-3151-162,240,-8.51605757460309,-7.3345164267724865
C-169395-3151-163,240,-9.181316679804821,-7.331744513834146
C-169395-3151-164,240,-9.58684254303825,-7.33005482273734
C-169395-3151-165,240,-8.511415362050593,-7.334535769324789
C-169395-3151-166,240,-8.885182094158116,-7.332978407941008
C-169395-3151-167,240,-8.655162906308423,-7.333936821223714
